Date : 2023-05-07 12:00:01
Directory : /Users/samharvey/AndroidStudioProjects/digby
Total : 62 files,  3300 codes, 317 comments, 368 blanks, all 3985 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| android/app/src/main/res/drawable                                                                               |          1 |          9 |          0 |          1 |         10 |
| android/app/src/main/res/drawable-v21                                                                           |          1 |          9 |          0 |          1 |         10 |
| android/app/src/main/res/values                                                                                 |          1 |         13 |          9 |          1 |         23 |
| android/app/src/main/res/values-night                                                                           |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                         |          1 |          5 |          4 |          1 |         10 |
| android/gradle                                                                                                  |          1 |          5 |          1 |          1 |          7 |
| android/gradle/wrapper                                                                                          |          1 |          5 |          1 |          1 |          7 |
| ios                                                                                                             |          7 |        126 |          2 |          7 |        135 |
| ios/Runner                                                                                                      |          7 |        126 |          2 |          7 |        135 |
| ios/Runner (Files)                                                                                              |          2 |         13 |          0 |          3 |         16 |
| ios/Runner/Assets.xcassets                                                                                      |          3 |         45 |          0 |          2 |         47 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                   |          1 |          1 |          0 |          0 |          1 |
| ios/Runner/Assets.xcassets/LaunchBackground.imageset                                                            |          1 |         21 |          0 |          1 |         22 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                 |          1 |         23 |          0 |          1 |         24 |
| ios/Runner/Base.lproj                                                                                           |          2 |         68 |          2 |          2 |         72 |
| lib                                                                                                             |         12 |        919 |         41 |         82 |      1,042 |
| lib (Files)                                                                                                     |          3 |        603 |         38 |         36 |        677 |
| lib/characters                                                                                                  |          3 |        115 |          1 |         15 |        131 |
| lib/data                                                                                                        |          1 |         14 |          0 |          6 |         20 |
| lib/treats                                                                                                      |          3 |         60 |          1 |         13 |         74 |
| lib/widgets                                                                                                     |          2 |        127 |          1 |         12 |        140 |
| linux                                                                                                           |          5 |         98 |         27 |         38 |        163 |
| linux (Files)                                                                                                   |          3 |         86 |         18 |         27 |        131 |
| linux/flutter                                                                                                   |          2 |         12 |          9 |         11 |         32 |
| macos                                                                                                           |          5 |        372 |          3 |         11 |        386 |
| macos/Flutter                                                                                                   |          1 |          8 |          3 |          4 |         15 |
| macos/Runner                                                                                                    |          4 |        364 |          0 |          7 |        371 |
| macos/Runner (Files)                                                                                            |          2 |         20 |          0 |          6 |         26 |
| macos/Runner/Assets.xcassets                                                                                    |          1 |          1 |          0 |          0 |          1 |
| macos/Runner/Assets.xcassets/AppIcon.appiconset                                                                 |          1 |          1 |          0 |          0 |          1 |
| macos/Runner/Base.lproj                                                                                         |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                            |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                             |          4 |        130 |         16 |         18 |        164 |
| web (Files)                                                                                                     |          2 |         77 |         16 |          8 |        101 |
| web/splash                                                                                                      |          2 |         53 |          0 |         10 |         63 |
| windows                                                                                                         |         10 |        437 |         91 |        142 |        670 |
| windows/flutter                                                                                                 |          2 |         11 |          9 |         11 |         31 |
| windows/runner                                                                                                  |          8 |        426 |         82 |        131 |        639 |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                        | language        | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| /Users/samharvey/AndroidStudioProjects/digby/README.md                                                          | Markdown        |         10 |          0 |          7 |         17 |
| /Users/samharvey/AndroidStudioProjects/digby/analysis_options.yaml                                              | YAML            |          3 |         23 |          4 |         30 |
| /Users/samharvey/AndroidStudioProjects/digby/android/app/build.gradle                                           | Gradle          |         67 |          3 |         17 |         87 |
| /Users/samharvey/AndroidStudioProjects/digby/android/app/src/debug/AndroidManifest.xml                          | XML             |          5 |          4 |          1 |         10 |
| /Users/samharvey/AndroidStudioProjects/digby/android/app/src/main/AndroidManifest.xml                           | XML             |         29 |          6 |          2 |         37 |
| /Users/samharvey/AndroidStudioProjects/digby/android/app/src/main/res/drawable-v21/launch_background.xml        | XML             |          9 |          0 |          1 |         10 |
| /Users/samharvey/AndroidStudioProjects/digby/android/app/src/main/res/drawable/launch_background.xml            | XML             |          9 |          0 |          1 |         10 |
| /Users/samharvey/AndroidStudioProjects/digby/android/app/src/main/res/values-night/styles.xml                   | XML             |          9 |          9 |          1 |         19 |
| /Users/samharvey/AndroidStudioProjects/digby/android/app/src/main/res/values/styles.xml                         | XML             |         13 |          9 |          1 |         23 |
| /Users/samharvey/AndroidStudioProjects/digby/android/app/src/profile/AndroidManifest.xml                        | XML             |          5 |          4 |          1 |         10 |
| /Users/samharvey/AndroidStudioProjects/digby/android/build.gradle                                               | Gradle          |         27 |          0 |          5 |         32 |
| /Users/samharvey/AndroidStudioProjects/digby/android/gradle.properties                                          | Java Properties |          3 |          0 |          1 |          4 |
| /Users/samharvey/AndroidStudioProjects/digby/android/gradle/wrapper/gradle-wrapper.properties                   | Java Properties |          5 |          1 |          1 |          7 |
| /Users/samharvey/AndroidStudioProjects/digby/android/settings.gradle                                            | Gradle          |          8 |          0 |          4 |         12 |
| /Users/samharvey/AndroidStudioProjects/digby/firebase.json                                                      | JSON            |          7 |         10 |          0 |         17 |
| /Users/samharvey/AndroidStudioProjects/digby/ios/Runner/AppDelegate.swift                                       | Swift           |         12 |          0 |          2 |         14 |
| /Users/samharvey/AndroidStudioProjects/digby/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json        | JSON            |          1 |          0 |          0 |          1 |
| /Users/samharvey/AndroidStudioProjects/digby/ios/Runner/Assets.xcassets/LaunchBackground.imageset/Contents.json | JSON            |         21 |          0 |          1 |         22 |
| /Users/samharvey/AndroidStudioProjects/digby/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json      | JSON            |         23 |          0 |          1 |         24 |
| /Users/samharvey/AndroidStudioProjects/digby/ios/Runner/Base.lproj/LaunchScreen.storyboard                      | XML             |         43 |          1 |          1 |         45 |
| /Users/samharvey/AndroidStudioProjects/digby/ios/Runner/Base.lproj/Main.storyboard                              | XML             |         25 |          1 |          1 |         27 |
| /Users/samharvey/AndroidStudioProjects/digby/ios/Runner/Runner-Bridging-Header.h                                | C++             |          1 |          0 |          1 |          2 |
| /Users/samharvey/AndroidStudioProjects/digby/lib/characters/digby.dart                                          | Dart            |         34 |          0 |          5 |         39 |
| /Users/samharvey/AndroidStudioProjects/digby/lib/characters/jumping.dart                                        | Dart            |         29 |          0 |          5 |         34 |
| /Users/samharvey/AndroidStudioProjects/digby/lib/characters/obstacles.dart                                      | Dart            |         52 |          1 |          5 |         58 |
| /Users/samharvey/AndroidStudioProjects/digby/lib/data/db.dart                                                   | Dart            |         14 |          0 |          6 |         20 |
| /Users/samharvey/AndroidStudioProjects/digby/lib/home_page.dart                                                 | Dart            |        568 |          0 |         27 |        595 |
| /Users/samharvey/AndroidStudioProjects/digby/lib/main.dart                                                      | Dart            |         32 |          3 |          6 |         41 |
| /Users/samharvey/AndroidStudioProjects/digby/lib/providers.dart                                                 | Dart            |          3 |         35 |          3 |         41 |
| /Users/samharvey/AndroidStudioProjects/digby/lib/treats/creatine.dart                                           | Dart            |         20 |          1 |          5 |         26 |
| /Users/samharvey/AndroidStudioProjects/digby/lib/treats/senzu.dart                                              | Dart            |         20 |          0 |          4 |         24 |
| /Users/samharvey/AndroidStudioProjects/digby/lib/treats/snake_oil.dart                                          | Dart            |         20 |          0 |          4 |         24 |
| /Users/samharvey/AndroidStudioProjects/digby/lib/widgets/app_drawer.dart                                        | Dart            |         83 |          1 |          6 |         90 |
| /Users/samharvey/AndroidStudioProjects/digby/lib/widgets/button.dart                                            | Dart            |         44 |          0 |          6 |         50 |
| /Users/samharvey/AndroidStudioProjects/digby/linux/flutter/generated_plugin_registrant.cc                       | C++             |          7 |          4 |          5 |         16 |
| /Users/samharvey/AndroidStudioProjects/digby/linux/flutter/generated_plugin_registrant.h                        | C++             |          5 |          5 |          6 |         16 |
| /Users/samharvey/AndroidStudioProjects/digby/linux/main.cc                                                      | C++             |          5 |          0 |          2 |          7 |
| /Users/samharvey/AndroidStudioProjects/digby/linux/my_application.cc                                            | C++             |         74 |         11 |         20 |        105 |
| /Users/samharvey/AndroidStudioProjects/digby/linux/my_application.h                                             | C++             |          7 |          7 |          5 |         19 |
| /Users/samharvey/AndroidStudioProjects/digby/macos/Flutter/GeneratedPluginRegistrant.swift                      | Swift           |          8 |          3 |          4 |         15 |
| /Users/samharvey/AndroidStudioProjects/digby/macos/Runner/AppDelegate.swift                                     | Swift           |          8 |          0 |          2 |         10 |
| /Users/samharvey/AndroidStudioProjects/digby/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json      | JSON            |          1 |          0 |          0 |          1 |
| /Users/samharvey/AndroidStudioProjects/digby/macos/Runner/Base.lproj/MainMenu.xib                               | XML             |        343 |          0 |          1 |        344 |
| /Users/samharvey/AndroidStudioProjects/digby/macos/Runner/MainFlutterWindow.swift                               | Swift           |         12 |          0 |          4 |         16 |
| /Users/samharvey/AndroidStudioProjects/digby/package-lock.json                                                  | JSON            |        960 |          0 |          1 |        961 |
| /Users/samharvey/AndroidStudioProjects/digby/package.json                                                       | JSON            |          5 |          0 |          1 |          6 |
| /Users/samharvey/AndroidStudioProjects/digby/pubspec.yaml                                                       | YAML            |         30 |         58 |         14 |        102 |
| /Users/samharvey/AndroidStudioProjects/digby/test/widget_test.dart                                              | Dart            |         14 |         10 |          7 |         31 |
| /Users/samharvey/AndroidStudioProjects/digby/web/index.html                                                     | HTML            |         42 |         16 |          7 |         65 |
| /Users/samharvey/AndroidStudioProjects/digby/web/manifest.json                                                  | JSON            |         35 |          0 |          1 |         36 |
| /Users/samharvey/AndroidStudioProjects/digby/web/splash/splash.js                                               | JavaScript      |          5 |          0 |          1 |          6 |
| /Users/samharvey/AndroidStudioProjects/digby/web/splash/style.css                                               | CSS             |         48 |          0 |          9 |         57 |
| /Users/samharvey/AndroidStudioProjects/digby/windows/flutter/generated_plugin_registrant.cc                     | C++             |          6 |          4 |          5 |         15 |
| /Users/samharvey/AndroidStudioProjects/digby/windows/flutter/generated_plugin_registrant.h                      | C++             |          5 |          5 |          6 |         16 |
| /Users/samharvey/AndroidStudioProjects/digby/windows/runner/flutter_window.cpp                                  | C++             |         48 |          4 |         15 |         67 |
| /Users/samharvey/AndroidStudioProjects/digby/windows/runner/flutter_window.h                                    | C++             |         20 |          5 |          9 |         34 |
| /Users/samharvey/AndroidStudioProjects/digby/windows/runner/main.cpp                                            | C++             |         30 |          4 |         10 |         44 |
| /Users/samharvey/AndroidStudioProjects/digby/windows/runner/resource.h                                          | C++             |          9 |          6 |          2 |         17 |
| /Users/samharvey/AndroidStudioProjects/digby/windows/runner/utils.cpp                                           | C++             |         53 |          2 |         10 |         65 |
| /Users/samharvey/AndroidStudioProjects/digby/windows/runner/utils.h                                             | C++             |          8 |          6 |          6 |         20 |
| /Users/samharvey/AndroidStudioProjects/digby/windows/runner/win32_window.cpp                                    | C++             |        210 |         24 |         55 |        289 |
| /Users/samharvey/AndroidStudioProjects/digby/windows/runner/win32_window.h                                      | C++             |         48 |         31 |         24 |        103 |
| Total                                                                                                           |                 |      3,300 |        317 |        368 |      3,985 |
+-----------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
